IDs,tsne dim 1,tsne dim 2,Clusters
DE-03-2966-H1,-3.8561633,17.93769,5
PL-01-0060-H1,-14.484311,-14.245946,-1
CZ-01-0409-H1,-3.852174,17.950388,5
GR-03-0132-H1,-17.96567,-13.233092,15
DE-02-0562-H1,-11.431719,-13.770238,-1
DE-02-4789-H1,-3.8480153,17.963924,5
SE-01-0883-H1,-11.76988,-7.1608114,9
DE-02-1860-H1,-3.8555584,17.93998,5
RU-01-0396-H1,-3.7424154,18.188108,5
CZ-01-0648-H3,0.49210104,-22.88781,-1
DE-03-3853-H1,-3.755512,18.16789,5
DE-03-3752-H1,-3.850195,17.95691,5
DE-02-4152-H1,4.4097853,-15.823996,-1
DE-02-2218-H1,-4.744095,-7.7376833,-1
NY-01-0104-H1,-3.8371508,17.994425,5
IT-01-0413-H1,-7.970787,6.4260387,-1
DE-02-0750-H1,-11.209477,-3.1322331,-1
DE-02-4688-H1,2.40464,-16.135437,0
IT-01-0428-H1,4.8014064,-23.61829,1
US-01-0230-H1,-3.748196,18.179873,5
GR-01-0965-H1,-3.8497696,17.95815,5
NY-01-0065-H1,-10.406007,-8.425642,9
IT-02-0641-H1,-3.854782,17.942284,5
PL-01-0161-H1,-20.877398,-9.773652,12
DK-01-0281-H2,5.0282545,1.4249036,7
US-01-0999-H1,-15.345463,-5.684114,-1
FR-01-0540-H1,1.198046,4.3251557,7
DK-01-0761-H1,-3.8292701,18.015799,5
DE-03-4501-H1,-17.738647,-13.663836,15
NY-01-0588-H1,-10.286472,-8.067959,9
FR-01-1371-H1,-3.4028904,18.184496,5
DE-02-0062-H1,-3.4029386,18.184359,5
CZ-01-1863-H2,-3.4029217,18.184486,5
GR-03-0229-H1,-15.195565,4.370503,8
DE-02-5174-H1,-7.566459,-6.1330233,10
DK-01-1157-H1,-3.4024715,18.184908,5
DK-01-0565-H1,-3.4025364,18.184988,5
DE-02-2470-H1,-17.387663,-1.1840851,13
SE-01-1146-H1,-3.4028583,18.18453,5
NL-04-0089-H1,4.9181423,1.4558414,7
NY-01-0325-H1,-18.457314,2.876096,14
DE-02-4201-H1,-8.70722,8.217433,-1
CZ-01-0288-H1,-14.217153,-10.442479,11
CZ-01-1603-H1,-3.4027953,18.184774,5
US-01-1116-H1,-3.402842,18.18469,5
