IDs,tsne dim 1,tsne dim 2,Cluster
NY-01-0869-H1,-19.889574,-11.876656,4
CZ-01-1869-H2,17.062504,7.575409,7
RU-01-0645-H1,17.062492,7.575434,7
GR-02-0223-H1,-19.889574,-11.876656,4
DE-01-0457-H1,2.4536667,4.65513,-1
IT-02-0185-H1,4.5288687,-18.786633,-1
NL-01-1215-H1,17.338972,8.150254,7
GR-02-0413-H1,-0.54849184,-17.39288,19
DE-02-1980-H1,-16.025126,-8.121198,5
UK-01-0167-H1,-19.889574,-11.876656,4
US-01-0233-H1,-18.939629,-8.653118,5
NL-01-0487-H1,1.6514529,-11.567959,-1
CZ-01-0053-H1,2.15313,-10.104199,23
FR-01-0563-H1,7.711497,20.644695,-1
NL-01-1295-H1,-5.9497557,4.638005,-1
GR-01-0286-H1,13.538077,-13.999904,28
DE-03-0810-H1,1.0323622,-21.37524,25
DE-02-5051-H1,17.062443,7.5753417,7
DE-03-1363-H1,17.062485,7.575389,7
FR-01-0903-H1,1.6620238,-9.347416,23
DE-03-2277-H1,17.339024,8.15038,7
DE-03-3728-H1,-19.91091,-13.468449,4
FR-01-1014-H1,-1.2793052,-5.616764,15
DE-03-2037-H1,17.338984,8.150321,7
DE-02-1128-H1,-6.7527337,-9.262321,-1
GR-02-0514-H2,-3.1235764,1.7853693,13
UK-01-0027-H1,5.303907,-15.623291,-1
DE-02-4316-H1,2.0390012,-4.4614687,17
NL-04-0117-H1,17.062603,7.575544,7
NY-01-1255-H1,13.538181,-14.000097,28
US-01-0110-H1,-19.688347,-8.689085,5
DE-02-0236-H1,4.5314612,-9.423587,23
DE-03-0269-H1,17.06275,7.5758214,7
GR-01-0601-H1,-7.2956924,-1.5197753,-1
US-01-0780-H1,17.062696,7.5757537,7
DE-03-2390-H1,2.5383546,-24.241573,24
FR-01-1106-H1,17.062786,7.5758133,7
NY-01-0895-H1,-19.889574,-11.876656,4
DE-02-4119-H1,-4.1222286,-9.123352,-1
CZ-01-0195-H1,13.969618,-10.662869,20
SE-01-0973-H1,17.060244,7.574579,7
NY-01-0758-H1,17.062746,7.575745,7
DE-03-4712-H1,-5.5073476,-18.557905,21
UK-01-0279-H1,-5.629151,-14.170472,16
DE-02-1624-H1,17.06255,7.575473,7
DK-01-1364-H1,17.062891,7.575843,7
GR-01-0648-H1,17.062876,7.5757985,7
DE-03-0367-H1,8.222977,-10.708424,-1
IT-02-0387-H1,17.062876,7.5757985,7
DK-01-0365-H1,17.062637,7.575472,7
NY-01-1085-H1,-7.023997,-6.9379635,-1
ES-01-0583-H1,0.4780673,-22.26925,25
NL-01-1401-H1,17.062637,7.575472,7
ES-01-0032-H1,17.062637,7.575472,7
DE-03-2891-H1,17.062616,7.575453,7
FR-01-1113-H1,-5.1366444,-14.076553,16
DE-02-1268-H1,17.062565,7.575375,7
HU-01-0248-H1,1.1644014,-21.319384,25
GR-01-0926-H1,-19.889574,-11.876656,4
NL-01-0681-H1,-3.2890947,17.501804,-1
DE-02-2010-H1,17.338743,8.150184,7
UK-03-0485-H1,-3.2947733,17.46871,-1
DE-02-3964-H1,17.06265,7.5754547,7
UK-01-0514-H1,17.05861,7.5742545,7
NL-01-1374-H1,17.05871,7.5744133,7
CZ-01-1499-H1,17.0627,7.5757494,7
UK-02-0077-H1,-9.143571,-6.8538775,-1
NL-01-1085-H1,2.7064707,4.791564,-1
NY-01-0093-H1,-19.889574,-11.876656,4
RU-01-0303-H1,17.062492,7.575434,7
US-01-0418-H1,4.121983,4.843542,12
UK-02-0110-H1,-17.630602,-8.669766,5
DE-02-3940-H1,17.338736,8.150252,7
DE-02-1883-H1,10.401918,-12.501083,-1
IT-02-0320-H1,0.37891367,1.8756065,12
CZ-01-0338-H1,-19.889574,-11.876656,4
IT-02-0295-H1,17.062532,7.5754204,7
DE-02-0441-H1,17.062708,7.575711,7
DE-02-4286-H1,3.4602985,4.8739805,-1
UK-01-0820-H1,17.058626,7.5742693,7
RU-01-0002-H1,4.683794,-18.988522,-1
GR-02-0757-H1,5.8695283,-20.04051,26
DE-02-1374-H1,-6.3628716,0.002302312,-1
DE-02-3776-H2,2.0389721,-4.455002,17
DE-03-4392-H1,17.060246,7.574579,7
DE-02-4700-H1,-16.025126,-8.121198,5
DE-02-2770-H1,-15.175115,-7.501393,5
GR-02-0732-H1,1.2911631,3.6728768,12
DE-02-0427-H1,-16.025126,-8.121198,5
GR-03-0402-H1,17.339024,8.150331,7
US-01-0469-H1,17.33903,8.1503315,7
UK-01-0423-H1,-4.4739475,-11.048904,-1
DK-01-0963-H1,-19.889574,-11.876656,4
NY-01-0428-H1,6.9673686,-17.521725,-1
RU-01-0198-H1,17.062786,7.5757914,7
DE-03-3514-H1,-1.2793052,-5.616764,15
SR-01-0143-H1,-19.889574,-11.876656,4
DE-03-3306-H1,-16.75524,-12.690173,-1
NY-01-0620-H1,8.9872675,-15.461143,27
UK-01-0592-H1,17.062792,7.5757055,7
US-01-0696-H1,5.092559,5.030649,-1
SE-01-0717-H1,17.073246,7.581245,7
DK-01-1047-H1,7.308838,-9.601332,23
DE-02-2109-H1,3.7138298,-15.553265,18
GR-01-0995-H1,11.332708,-4.5639453,-1
PL-01-0332-H1,9.251326,-3.8507855,-1
DE-02-1584-H1,17.062475,7.575405,7
RU-01-0733-H1,-19.889574,-11.876656,4
IT-07-0324-H1,7.450441,-13.868969,-1
IT-05-0367-H1,7.02063,-11.047513,-1
DE-03-0666-H1,10.237296,-0.11924059,-1
DE-03-1885-H1,17.062714,7.575717,7
CZ-01-1428-H1,-6.2479925,-10.091237,-1
DE-02-0307-H1,6.736691,-19.109915,26
DE-02-2890-H1,17.062479,7.575386,7
FR-01-0668-H1,-16.49374,-5.965842,-1
DE-02-1650-H1,2.394898,-9.860536,23
DE-02-5005-H1,17.339066,8.150497,7
NL-01-1091-H1,-16.025126,-8.121198,5
DE-02-1075-H1,17.338968,8.150312,7
US-01-0517-H1,14.415616,-2.981565,-1
DK-01-0652-H1,5.968343,-20.200754,26
GR-02-0772-H1,17.062567,7.575543,7
NY-01-0840-H1,17.33901,8.150252,7
NL-01-0710-H1,17.062773,7.5757284,7
DE-02-0250-H1,3.5213978,-7.505114,-1
IT-02-0722-H1,17.0628,7.575805,7
